S.N., time                   , place                                     , magnitude, longitude, latitude, depth
 432, 2015-04-27 18:59:57.010, "43 km NNE of Bharatpur, Nepal"           ,      4.8 ,   84.682 ,  28.0066, 21.35
 433, 2015-04-27 15:51:46.110, "15 km W of Kirtipur, Nepal"              ,      4.3 ,   85.1212,  27.6728, 10.0
 434, 2015-04-27 14:57:00.080, "18 km SSW of Kod?ri??, Nepal"            ,      4.0 ,   85.8855,  27.8065, 10.0
 435, 2015-04-27 14:42:39.210, "9 km NE of Dhulikhel, Nepal"             ,      4.3 ,   85.6085,  27.6802, 10.0
 436, 2015-04-27 13:17:47.600, "41 km NNE of Bharatpur, Nepal"           ,      4.3 ,   84.5829,  28.0231, 19.52
 437, 2015-04-27 12:35:53.930, "13 km ESE of Il?m, Nepal"                ,      5.1 ,   88.055 ,  26.8644, 31.71
 438, 2015-04-27 06:00:00.390, "22 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.1373,  27.8347, 10.0
 439, 2015-04-27 04:14:44.840, "40 km NE of Bharatpur, Nepal"            ,      4.1 ,   84.7251,  27.9352, 10.0
 440, 2015-04-27 01:15:51.060, "29 km ESE of Panauti, Nepal"             ,      4.3 ,   85.7818,  27.4565, 10.0
 441, 2015-04-27 00:39:16.330, "28 km NNW of Hetauda, Nepal"             ,      4.1 ,   84.9579,  27.6794, 10.0
 442, 2015-04-26 22:32:34.720, "16 km ESE of Panauti, Nepal"             ,      4.6 ,   85.6751,  27.5298, 10.0
 443, 2015-04-26 20:39:20.030, "19 km WSW of Kod?ri??, Nepal"            ,      4.3 ,   85.7813,  27.8804, 10.0
 444, 2015-04-26 18:54:49.080, "47 km NE of Bharatpur, Nepal"            ,      4.4 ,   84.7645,  27.9888, 10.0
 445, 2015-04-26 18:06:31.490, "7 km NE of Kathmandu, Nepal"             ,      4.2 ,   85.3686,  27.7579, 10.0
 446, 2015-04-26 16:26:06.730, "17 km SSW of Kod?ri??, Nepal"            ,      5.0 ,   85.865 ,  27.8297, 14.0
 447, 2015-04-26 14:57:04.380, "53 km NNE of Bharatpur, Nepal"           ,      4.3 ,   84.6464,  28.1223, 10.0
 448, 2015-04-26 14:44:50.510, "30 km S of Kod?ri??, Nepal"              ,      4.5 ,   85.9657,  27.686 , 10.0
 449, 2015-04-26 13:11:15.170, "14 km N of Madhyapur Thimi, Nepal"       ,      4.5 ,   85.4088,  27.8112, 10.0
 450, 2015-04-26 12:34:41.310, "18 km ESE of Dhulikhel, Nepal"           ,      4.0 ,   85.7179,  27.5683,  8.42
 451, 2015-04-26 09:42:03.630, "43 km ESE of Dhulikhel, Nepal"           ,      4.3 ,   85.9371,  27.4422, 10.0
 452, 2015-04-26 08:46:17.050, "15 km WSW of Kod?ri??, Nepal"            ,      4.4 ,   85.8032,  27.9232, 10.0
 453, 2015-04-26 08:40:55.820, "27 km SSW of Kod?ri??, Nepal"            ,      4.6 ,   85.854 ,  27.7307, 10.0
 454, 2015-04-26 08:22:12.350, "12 km WNW of Kod?ri??, Nepal"            ,      4.4 ,   85.8449,  28.0119, 10.0
 455, 2015-04-26 08:10:37.340, "24 km SW of Kod?ri??, Nepal"             ,      4.3 ,   85.781 ,  27.8072, 10.0
 456, 2015-04-26 07:50:26.020, "25 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.0078,  27.7325, 10.0
 457, 2015-04-26 07:43:17.480, "34 km N of Janakpur, Nepal"              ,      4.3 ,   85.9863,  27.0336, 10.0
 458, 2015-04-26 07:36:26.570, "22 km S of Kod?ri??, Nepal"              ,      4.7 ,   85.9822,  27.7555, 10.0
 459, 2015-04-26 07:26:04.190, "29 km S of Kod?ri??, Nepal"              ,      4.9 ,   85.9136,  27.7004, 10.0
 460, 2015-04-26 07:09:10.670, "21 km SSE of Kod?ri??, Nepal"            ,      6.7 ,   86.0173,  27.7711, 22.91
 461, 2015-04-26 04:58:40.040, "44 km NE of Bharatpur, Nepal"            ,      4.5 ,   84.7082,  27.9966, 10.0
 462, 2015-04-26 04:50:29.550, "36 km N of Kathmandu, Nepal"             ,      4.1 ,   85.3595,  28.0281, 10.0
 463, 2015-04-26 04:40:16.330, "59 km NNE of Bharatpur, Nepal"           ,      4.0 ,   84.6699,  28.1724, 10.0
 464, 2015-04-26 03:21:36.160, "13 km SSE of Panauti, Nepal"             ,      4.3 ,   85.5624,  27.469 , 10.0
 465, 2015-04-26 02:48:39.070, "60 km E of Pokhara, Nepal"               ,      4.5 ,   84.5858,  28.2272, 10.0
 466, 2015-04-26 02:33:26.940, "38 km SSE of Kod?ri??, Nepal"            ,      4.1 ,   86.0531,  27.6257, 10.0
 467, 2015-04-26 02:02:07.850, "4 km SSW of Hari Bdr Tamang House, Nepal",      4.2 ,   85.4424,  27.5936, 10.0
 468, 2015-04-25 23:55:46.070, "28 km E of Dhulikhel, Nepal"             ,      4.1 ,   85.8354,  27.6098,  6.57
 469, 2015-04-25 23:41:53.750, "34 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.0726,  27.6678, 15.68
 470, 2015-04-25 23:16:15.450, "42 km WNW of Kirtipur, Nepal"            ,      5.1 ,   84.8715,  27.7993, 13.61
 471, 2015-04-25 23:12:52.060, "41 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.0873,  27.6038,  9.21
 472, 2015-04-25 21:07:20.000, "25 km SSW of Kod?ri??, Nepal"            ,      4.6 ,   85.8114,  27.7657, 23.88
 473, 2015-04-25 20:32:48.240, "35 km S of Kod?ri??, Nepal"              ,      4.4 ,   85.9241,  27.6437, 10.0
 474, 2015-04-25 20:07:01.970, "34 km NNE of Bharatpur, Nepal"           ,      4.4 ,   84.5282,  27.9754, 10.0
 475, 2015-04-25 18:58:34.530, "5 km SE of P?tan, Nepal"                 ,      4.2 ,   85.3501,  27.6376, 14.2
 476, 2015-04-25 17:46:17.590, "31 km NNE of Kod?ri??, Nepal"            ,      4.5 ,   86.1072,  28.2139, 35.26
 477, 2015-04-25 17:42:50.910, "33 km NNW of Kod?ri??, Nepal"            ,      5.1 ,   85.829 ,  28.238 , 10.0
 478, 2015-04-25 16:27:21.660, "20 km NNE of Nagarkot, Nepal"            ,      4.9 ,   85.6359,  27.8695, 10.0
 479, 2015-04-25 14:10:03.730, "28 km SSW of Kod?ri??, Nepal"            ,      4.6 ,   85.8748,  27.7109, 10.0
 480, 2015-04-25 13:36:14.620, "26 km S of Kod?ri??, Nepal"              ,      4.7 ,   85.9826,  27.7266, 10.0
 481, 2015-04-25 13:30:28.030, "50 km NNW of Kirtipur, Nepal"            ,      4.6 ,   85.0378,  28.0768, 10.0
 482, 2015-04-25 13:29:31.610, "23 km SW of Kod?ri??, Nepal"             ,      4.3 ,   85.7909,  27.8055, 10.0
 483, 2015-04-25 12:44:05.170, "48 km NNE of Bharatpur, Nepal"           ,      5.2 ,   84.5594,  28.0979, 10.0
 484, 2015-04-25 12:39:52.630, "54 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.0952,  27.4844, 10.0
 485, 2015-04-25 12:17:54.790, "24 km NNW of Nagarkot, Nepal"            ,      4.5 ,   85.449 ,  27.9261, 10.0
 486, 2015-04-25 12:12:14.790, "33 km S of Kod?ri??, Nepal"              ,      4.3 ,   85.8954,  27.6645, 10.0
 487, 2015-04-25 12:01:10.730, "11 km SSW of Kod?ri??, Nepal"            ,      4.2 ,   85.9255,  27.8638, 10.0
 488, 2015-04-25 11:41:47.700, "47 km NNW of Kathmandu, Nepal"           ,      4.2 ,   85.0566,  28.0596, 10.0
 489, 2015-04-25 11:23:47.560, "3 km NW of Hari Bdr Tamang House, Nepal" ,      4.5 ,   85.4309,  27.6483, 10.0
 490, 2015-04-25 11:18:30.100, "47 km ESE of Dhulikhel, Nepal"           ,      4.4 ,   86.0058,  27.4923, 10.0
 491, 2015-04-25 11:15:18.020, "40 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.0505,  27.6021, 10.0
 492, 2015-04-25 11:05:01.240, "24 km N of Nagarkot, Nepal"              ,      4.2 ,   85.5471,  27.933 , 10.0
 493, 2015-04-25 10:53:43.530, "18 km SSW of Kod?ri??, Nepal"            ,      4.6 ,   85.8842,  27.8061, 10.0
 494, 2015-04-25 10:52:00.490, "13 km SE of Panauti, Nepal"              ,      4.0 ,   85.6304,  27.5075, 10.0
 495, 2015-04-25 10:50:45.880, "55 km NNE of Bharatpur, Nepal"           ,      4.2 ,   84.6237,  28.1447, 10.0
 496, 2015-04-25 10:40:35.550, Nepal                                     ,      4.8 ,   85.9565,  27.6033, 10.0
 497, 2015-04-25 10:40:13.500, "24 km SSW of Kod?ri??, Nepal"            ,      4.1 ,   85.8322,  27.7704, 10.0
 498, 2015-04-25 10:23:17.670, "23 km SW of Kod?ri??, Nepal"             ,      4.4 ,   85.8035,  27.7999, 10.0
 499, 2015-04-25 10:10:32.840, "73 km NNE of Bharatpur, Nepal"           ,      4.2 ,   84.7255,  28.2838, 10.0
 500, 2015-04-25 09:53:32.600, "20 km ESE of Dhulikhel, Nepal"           ,      4.0 ,   85.7255,  27.5326, 10.0
 501, 2015-04-25 09:43:00.840, "57 km NW of Kirtipur, Nepal"             ,      4.4 ,   84.8842,  28.0668, 10.0
 502, 2015-04-25 09:30:29.690, "30 km N of Nagarkot, Nepal"              ,      4.9 ,   85.5209,  27.9945, 10.0
 503, 2015-04-25 09:28:00.080, "33 km N of Kathmandu, Nepal"             ,      4.4 ,   85.3104,  28.0061, 10.0
 504, 2015-04-25 09:22:36.900, "22 km E of Nagarkot, Nepal"              ,      4.7 ,   85.7503,  27.7192, 10.0
 505, 2015-04-25 09:17:02.310, "69 km NE of Lobujya, Nepal"              ,      5.7 ,   87.3173,  28.3902, 10.0
 506, 2015-04-25 09:03:14.960, "19 km N of Kathmandu, Nepal"             ,      4.8 ,   85.3426,  27.8743, 10.0
 507, 2015-04-25 09:01:51.540, "24 km NW of Kirtipur, Nepal"             ,      4.4 ,   85.0718,  27.8084, 10.0
 508, 2015-04-25 08:55:55.960, "0 km WNW of Panauti??, Nepal"            ,      5.3 ,   85.5058,  27.5866, 10.0
 509, 2015-04-25 08:49:09.080, "37 km NNW of Hetauda, Nepal"             ,      4.4 ,   84.8893,  27.7404, 10.0
 510, 2015-04-25 08:36:05.260, Nepal                                     ,      4.2 ,   85.1727,  27.7292, 10.0
 511, 2015-04-25 08:31:32.430, "32 km S of Kod?ri??, Nepal"              ,      4.6 ,   85.9539,  27.6708, 10.0
 512, 2015-04-25 08:29:24.560, "33 km NNE of Bharatpur, Nepal"           ,      5.0 ,   84.6218,  27.9351, 10.0
 513, 2015-04-25 08:22:47.620, "12 km NNE of Nagarkot, Nepal"            ,      4.6 ,   85.5666,  27.8166, 10.0
 514, 2015-04-25 08:20:48.800, "12 km WSW of Kirtipur, Nepal"            ,      4.9 ,   85.16  ,  27.6429, 10.0
 515, 2015-04-25 08:20:11.160, "19 km SW of Kod?ri??, Nepal"             ,      4.7 ,   85.7931,  27.8549, 10.0
 516, 2015-04-25 08:16:59.230, "22 km ENE of Dhulikhel, Nepal"           ,      4.9 ,   85.7563,  27.7014, 10.0
 517, 2015-04-25 08:05:37.950, "22 km SW of Kod?ri??, Nepal"             ,      4.6 ,   85.7943,  27.8132, 10.0
 518, 2015-04-25 07:59:14.660, "22 km SW of Kod?ri??, Nepal"             ,      4.4 ,   85.7676,  27.8426, 10.0
 519, 2015-04-25 07:55:44.070, "14 km NNW of Nagarkot, Nepal"            ,      4.4 ,   85.4875,  27.846 , 10.0
 520, 2015-04-25 07:47:01.480, "13 km NNE of Nagarkot, Nepal"            ,      5.0 ,   85.5955,  27.8172, 10.0
 521, 2015-04-25 07:39:33.970, "20 km ENE of Dhulikhel, Nepal"           ,      4.5 ,   85.7383,  27.6821, 10.0
 522, 2015-04-25 07:34:55.190, "28 km NNE of Nagarkot, Nepal"            ,      4.3 ,   85.6099,  27.9633, 10.0
 523, 2015-04-25 07:33:47.410, "28 km W of Kirtipur, Nepal"              ,      4.3 ,   84.9918,  27.6891, 10.0
 524, 2015-04-25 07:23:38.520, "18 km SSW of Kod?ri??, Nepal"            ,      4.4 ,   85.8924,  27.8053, 10.0
 525, 2015-04-25 07:22:55.740, "13 km SW of Kod?ri??, Nepal"             ,      4.2 ,   85.8478,  27.8854, 10.0
 526, 2015-04-25 07:20:24.230, "6 km NNE of Kathmandu, Nepal"            ,      4.0 ,   85.3405,  27.7574, 10.0
 527, 2015-04-25 07:16:55.060, "24 km NE of Nagarkot, Nepal"             ,      4.7 ,   85.6791,  27.8818, 10.0
 528, 2015-04-25 07:13:44.150, "18 km E of Dhulikhel, Nepal"             ,      4.8 ,   85.7307,  27.615 , 10.0
 529, 2015-04-25 07:07:59.920, "19 km SSW of Kod?ri??, Nepal"            ,      4.9 ,   85.914 ,  27.7879, 10.0
 530, 2015-04-25 07:05:28.010, "26 km NNE of Nagarkot, Nepal"            ,      4.3 ,   85.5837,  27.9482, 10.0
 531, 2015-04-25 07:05:00.930, "36 km N of Kathmandu, Nepal"             ,      4.2 ,   85.3682,  28.029 , 10.0
 532, 2015-04-25 07:03:49.750, "40 km NE of Bharatpur, Nepal"            ,      4.4 ,   84.6843,  27.964 , 10.0
 533, 2015-04-25 07:03:09.350, "52 km ESE of Dhulikhel, Nepal"           ,      4.4 ,   86.0237,  27.4173, 10.0
 534, 2015-04-25 06:58:27.570, "26 km S of Kod?ri??, Nepal"              ,      5.1 ,   86.0061,  27.7219, 10.0
 535, 2015-04-25 06:56:33.860, "22 km WSW of Kod?ri??, Nepal"            ,      5.5 ,   85.7505,  27.8822, 10.0
 536, 2015-04-25 06:53:42.750, "7 km W of Kirtipur, Nepal"               ,      5.0 ,   85.2009,  27.672 , 10.0
 537, 2015-04-25 06:45:21.320, "71 km NNE of Bharatpur, Nepal"           ,      6.6 ,   84.8216,  28.2244, 10.0
 538, 2015-04-25 06:44:39.040, "1 km W of Panauti??, Nepal"              ,      4.6 ,   85.5012,  27.5862, 10.0
 539, 2015-04-25 06:37:58.690, "27 km SSW of Kod?ri??, Nepal"            ,      5.1 ,   85.8302,  27.7435, 10.0
 540, 2015-04-25 06:32:48.870, "26 km S of Kod?ri??, Nepal"              ,      4.6 ,   85.9479,  27.7244, 10.0
 541, 2015-04-25 06:29:46.130, Nepal                                     ,      4.7 ,   85.0717,  27.8478, 10.0
 542, 2015-04-25 06:28:05.780, "2 km SW of Nagarkot, Nepal"              ,      4.8 ,   85.5043,  27.7006, 10.0
 543, 2015-04-25 06:25:55.260, "7 km ESE of Nagarkot, Nepal"             ,      5.0 ,   85.5854,  27.687 , 10.0
 544, 2015-04-25 06:22:23.350, "12 km NNW of Nagarkot, Nepal"            ,      5.26,   85.448 ,  27.813 , 18.0
 545, 2015-04-25 06:22:02.750, "21 km NW of Kirtipur, Nepal"             ,      5.1 ,   85.1141,  27.8006, 10.0
 546, 2015-04-25 06:20:40.340, Nepal                                     ,      5.4 ,   84.492 ,  28.2046, 10.0
 547, 2015-04-25 06:18:10.870, "31 km SSE of Kod?ri??, Nepal"            ,      5.6 ,   86.0213,  27.6857, 10.0
 548, 2015-04-25 06:15:22.910, "0 km NNW of Dhulikhel, Nepal"            ,      6.1 ,   85.5398,  27.6285, 10.0
 549, 2015-04-25 06:11:25.950, "67 km NNE of Bharatpur, Nepal"           ,      7.8 ,   84.7314,  28.2305,  8.22
 550, 2015-04-22 01:29:09.390, "53 km SE of Jumla, Nepal"                ,      4.4 ,   82.5414,  28.9068, 10.0
 551, 2015-04-21 14:02:15.550, "46 km SSE of Jumla, Nepal"               ,      5.0 ,   82.3938,  28.8947, 10.0
 552, 2015-04-02 00:56:38.960, "89 km NNE of Kod?ri??, Nepal"            ,      4.6 ,   86.3309,  28.7007, 57.33
 553, 2015-01-31 13:59:45.250, "3 km N of Pokhara, Nepal"                ,      4.8 ,   83.9732,  28.2987, 32.41
 554, 2015-01-22 03:42:38.040, "17 km NE of Dipayal, Nepal"              ,      4.0 ,   81.0522,  29.3853, 40.66
 555, 2015-01-05 19:41:44.280, "9 km WNW of Dailekh, Nepal"              ,      4.2 ,   81.6126,  28.8652, 34.47
